probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
33144,41.191.236.140,,103.235.46.39,,4,25, 4665.07,4638.773
33144,41.191.236.140,,91.198.174.192,text-lb.esams.wikimedia.org,4,13, 843.237,808.863
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,13, 634.254,590.247
33144,41.191.236.140,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,17, 1734.02133333,1671.861
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,17, 1427.60433333,1405.023
33144,41.191.236.140,,151.101.37.140,,4,14, 820.012,791.453
33144,41.191.236.140,,104.123.111.164,a104-123-111-164.deploy.static.akamaitechnologies.com,4,13, 801.114333333,763.571
33144,41.191.236.140,,104.244.42.129,,4,13, 821.400333333,792.425
33144,41.191.236.140,,95.213.11.181,srv181-11-213-95.vk.com,4,16, 1333.69733333,1316.35
33144,41.191.236.140,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,22, 965.731,947.982
33144,41.191.236.140,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,16, 1391.80933333,1366.639
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,16, 1157.085,1128.055
33144,41.191.236.140,,175.100.207.206,,4,21, 3738.418,3429.392
33144,41.191.236.140,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,13, 1039.99733333,788.149
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,13, 444.689333333,392.169
33144,41.191.236.140,,91.225.248.129,,4,15, 1518.11866667,1226.347
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2620:109:c007:102::5be1:f881,,6,15, 1032.61766667,1013.562
33144,41.191.236.140,,52.44.176.20,ec2-52-44-176-20.compute-1.amazonaws.com,4,32, 3460.745,3403.093
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a01:578:3::3432:8583,,6,255, 1727.846,1574.977
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a00:1450:4007:80a::2004,par10s28-in-x04.1e100.net,6,15, 1934.52133333,1925.655
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,11, 6379.66866667,1449.697
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,13, 1853.393,1850.766
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,10, 1350.582,1349.619
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,11, 6316.207,1450.649
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,12, 1369.07666667,1370.008
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2620:109:c00c:104::b93f:9001,,6,9, 982.017333333,980.978
33493,2800:6f0:0:2:d66e:eff:fe23:2b04,,2a01:578:3::364d:6c02,,6,255, 2021.711,2012.985
33144,41.191.236.140,,172.217.19.196,ams16s31-in-f4.1e100.net,4,18, 1211.725,1180.702
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a00:1450:400e:80a::2004,ams15s33-in-x04.1e100.net,6,17, 1211.21933333,1186.076
33144,41.191.236.140,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,16, 1507.492,1342.127
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,16, 1181.05466667,1150.173
33144,41.191.236.140,,103.235.46.39,,4,25, 4809.169,4639.367
33144,41.191.236.140,,91.198.174.192,text-lb.esams.wikimedia.org,4,13, 828.529666667,808.756
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,13, 615.711666667,589.751
33144,41.191.236.140,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,17, 1661.50233333,1657.989
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,17, 1455.716,1396.83
33144,41.191.236.140,,151.101.37.140,,4,14, 824.696666667,793.384
33144,41.191.236.140,,216.137.59.230,server-216-137-59-230.ams1.r.cloudfront.net,4,20, 1617.04066667,1574.947
16703,78.232.192.24,sac.poum.tk,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,14, 369.679,366.473
16703,2a01:e34:ee8c:180:6666:b3ff:fed1:2ad8,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,16, 409.517333333,403.031
16703,78.232.192.24,sac.poum.tk,91.225.248.129,,4,10, 231.414333333,231.596
16703,2a01:e34:ee8c:180:6666:b3ff:fed1:2ad8,,2620:109:c007:102::5be1:f881,,6,8, 162.762333333,163.049
16703,78.232.192.24,sac.poum.tk,176.34.151.201,ec2-176-34-151-201.eu-west-1.compute.amazonaws.com,4,255, 553.459666667,543.894
16703,2a01:e34:ee8c:180:6666:b3ff:fed1:2ad8,,2406:da00:ff00::3404:d29c,,6,255, 806.457,807.22
15724,81.209.156.154,,172.217.19.196,ams16s31-in-f4.1e100.net,4,8, 97.751,96.716
15724,2001:7f0:1:3237::2,,2a00:1450:400e:80a::2004,ams15s33-in-x04.1e100.net,6,9, 139.308666667,139.198
15724,81.209.156.154,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,8, 106.393,102.963
15724,2001:7f0:1:3237::2,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,8, 106.380666667,103.655
15724,81.209.156.154,,103.235.46.39,,4,11, 1262.49666667,1262.055
15724,81.209.156.154,,91.198.174.192,text-lb.esams.wikimedia.org,4,5, 65.506,55.944
15724,2001:7f0:1:3237::2,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,5, 45.755,45.7
15724,81.209.156.154,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,7, 70.6706666667,69.556
15724,2001:7f0:1:3237::2,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,7, 66.0686666667,65.991
15724,81.209.156.154,,151.101.37.140,,4,6, 55.7413333333,55.688
15724,81.209.156.154,,104.123.111.164,a104-123-111-164.deploy.static.akamaitechnologies.com,4,5, 59.4493333333,45.729
15724,81.209.156.154,,104.244.42.129,,4,4, 33.0013333333,31.864
15724,81.209.156.154,,95.213.11.181,srv181-11-213-95.vk.com,4,7, 226.477333333,225.446
15724,81.209.156.154,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,10, 12.9856666667,7.96
15724,81.209.156.154,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,8, 103.399333333,103.259
15724,2001:7f0:1:3237::2,,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,8, 104.305333333,103.334
15724,81.209.156.154,,175.100.207.206,,4,11, 1363.18533333,1363.133
15724,81.209.156.154,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,5, 56.6883333333,56.687
15724,2001:7f0:1:3237::2,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,6, 67.8086666667,62.559
15724,81.209.156.154,,91.225.248.129,,4,5, 3.904,3.571
15724,2001:7f0:1:3237::2,,2620:109:c007:102::5be1:f881,,6,5, 5.20866666667,3.819
15724,81.209.156.154,,176.34.151.201,ec2-176-34-151-201.eu-west-1.compute.amazonaws.com,4,255, 2.02933333333,1.073
15724,2001:7f0:1:3237::2,,2406:da00:ff00::3404:d29c,,6,255, 458.159333333,436.828
13964,80.88.241.238,,172.217.17.132,ams15s30-in-f4.1e100.net,4,16, 913.849333333,906.801
13964,2a03:1c00:0:2::2,,2a00:1450:400e:80a::2004,ams15s33-in-x04.1e100.net,6,13, 825.268,825.426
13964,80.88.241.238,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,11, 740.945333333,739.536
13964,2a03:1c00:0:2::2,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,11, 913.982666667,911.304
13964,80.88.241.238,,103.235.46.39,,4,16, 1027.375,1005.672
13964,80.88.241.238,,91.198.174.192,text-lb.esams.wikimedia.org,4,8, 290.019666667,287.459
13964,2a03:1c00:0:2::2,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,8, 653.263,649.547
13964,80.88.241.238,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,15, 888.884333333,886.133
13964,2a03:1c00:0:2::2,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,17, 2497.111,2495.914
13964,80.88.241.238,,151.101.37.140,,4,12, 824.250666667,819.158
13964,80.88.241.238,,104.123.111.164,a104-123-111-164.deploy.static.akamaitechnologies.com,4,8, 532.905333333,532.492
13964,80.88.241.238,,104.244.42.129,,4,8, 191.948666667,191.758
13964,80.88.241.238,,95.213.11.181,srv181-11-213-95.vk.com,4,12, 636.640666667,623.714
13964,80.88.241.238,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,14, 749.542333333,748.548
13964,80.88.241.238,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,10, 741.743,736.784
13964,2a03:1c00:0:2::2,,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,11, 908.695666667,908.564
13964,80.88.241.238,,175.100.207.206,,4,12, 1778.39066667,1779.991
13964,80.88.241.238,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,9, 195.115666667,194.83
